時間戳記	lux1	lux2	led	dilution factor
2020/4/21 上午 7:47:44	0.49	0.97	0	1X
2020/4/21 上午 7:47:46	0.49	0.97	0	1X
2020/4/21 上午 7:47:47	0.49	0.97	0	1X
2020/4/21 上午 7:47:55	0.49	0.97	0	1X
2020/4/21 上午 7:47:57	0.49	0.97	0	1X
2020/4/21 上午 7:47:58	0.49	0.97	0	1X
2020/4/21 上午 7:48:00	0.49	0.97	0	1X
2020/4/21 上午 7:48:01	0.49	0.97	0	1X
2020/4/21 上午 7:48:02	0.49	0.97	0	1X
2020/4/21 上午 7:48:04	0.49	0.97	0	1X
2020/4/21 上午 7:48:06	0.49	0.97	0	1X
2020/4/21 上午 7:48:07	0.49	0.97	0	1X
2020/4/21 上午 7:48:09	0.49	0.97	0	1X
2020/4/21 上午 7:48:10	2.43	3.97	1	1X
2020/4/21 上午 7:48:12	2.95	3.97	1	1X
2020/4/21 上午 7:48:13	2.95	3.97	1	1X
2020/4/21 上午 7:48:15	2.95	3.97	1	1X
2020/4/21 上午 7:48:16	2.95	3.97	1	1X
2020/4/21 上午 7:48:18	2.95	3.97	1	1X
2020/4/21 上午 7:48:19	2.95	3.97	1	1X
2020/4/21 上午 7:48:21	2.95	3.97	1	1X
2020/4/21 上午 7:48:22	2.95	3.97	1	1X
2020/4/21 上午 7:48:24	2.95	3.97	1	1X
2020/4/21 上午 7:48:30	2.95	3.97	1	1X
2020/4/21 上午 7:48:31	2.95	5.47	2	1X
2020/4/21 上午 7:48:33	5.97	7.43	2	1X
2020/4/21 上午 7:48:34	5.97	7.43	2	1X
2020/4/21 上午 7:48:36	5.97	7.43	2	1X
2020/4/21 上午 7:48:37	5.97	7.43	2	1X
2020/4/21 上午 7:48:39	5.97	7.43	2	1X
2020/4/21 上午 7:48:40	5.97	7.43	2	1X
2020/4/21 上午 7:48:42	5.97	7.43	2	1X
2020/4/21 上午 7:48:43	5.97	7.43	2	1X
2020/4/21 上午 7:48:45	5.97	7.43	2	1X
2020/4/21 上午 7:48:46	5.97	7.43	2	1X
2020/4/21 上午 7:48:48	5.97	7.43	3	1X
2020/4/21 上午 7:48:49	8.44	10.89	3	1X
2020/4/21 上午 7:48:51	8.44	10.89	3	1X
2020/4/21 上午 7:48:52	8.44	10.89	3	1X
2020/4/21 上午 7:50:02	7.43	10.94	12	1X
2020/4/21 上午 7:50:03	7.43	10.94	0	1X
2020/4/21 上午 7:50:05	0	0	0	1X
2020/4/21 上午 7:50:06	0	0	0	1X
2020/4/21 上午 7:50:08	0	0	0	1X
2020/4/21 上午 7:50:09	2.43	2.95	1	1X
2020/4/21 上午 7:50:11	2.43	2.95	1	1X
2020/4/21 上午 7:50:12	2.92	2.95	1	1X
2020/4/21 上午 7:50:14	2.92	2.95	2	1X
2020/4/21 上午 7:50:15	4.97	6.41	2	1X
2020/4/21 上午 7:50:21	7.43	10.94	3	1X
2020/4/21 上午 7:50:23	7.43	10.94	3	1X
2020/4/21 上午 7:50:24	7.43	10.94	3	1X
2020/4/21 上午 7:50:26	7.43	10.94	4	1X
2020/4/21 上午 7:50:27	10.44	13.91	4	1X
2020/4/21 上午 7:50:29	10.44	14.41	4	1X
2020/4/21 上午 7:50:30	10.44	14.41	4	1X
2020/4/21 上午 7:50:33	12.9	17.88	5	1X
2020/4/21 上午 7:50:36	12.9	17.88	5	1X
2020/4/21 上午 7:50:35	12.9	17.37	5	1X
2020/4/21 上午 7:50:38	12.9	17.88	5	1X
2020/4/21 上午 7:50:39	12.9	17.88	5	1X
2020/4/21 上午 7:50:41	12.9	17.88	6	1X
2020/4/21 上午 7:50:42	15.91	21.34	6	1X
2020/4/21 上午 7:50:47	15.91	21.34	7	1X
2020/4/21 上午 7:50:48	18.38	25.35	7	1X
2020/4/21 上午 7:50:50	18.38	25.35	7	1X
2020/4/21 上午 7:50:51	18.38	25.35	7	1X
2020/4/21 上午 7:50:52	1182.74	1536.51	48	1X
2020/4/21 上午 7:50:53	18.38	25.35	7	1X
2020/4/21 上午 7:51:09	1185.19	1537	48	1X
2020/4/21 上午 7:51:11	26.85	35.75	10	1X
2020/4/21 上午 7:51:13	26.85	35.75	11	1X
2020/4/21 上午 7:51:17	29.32	39.22	11	1X
2020/4/21 上午 7:51:19	29.32	41.23	12	1X
2020/4/21 上午 7:51:20	31.79	43.23	12	1X
2020/4/21 上午 7:51:22	31.79	43.23	12	1X
2020/4/21 上午 7:51:23	31.79	43.23	12	1X
2020/4/21 上午 7:51:25	31.79	43.23	12	1X
2020/4/21 上午 7:51:26	31.79	43.23	12	1X
2020/4/21 上午 7:51:28	31.79	43.23	12	1X
2020/4/21 上午 7:51:29	31.79	43.23	12	1X
2020/4/21 上午 7:51:34	31.79	43.23	12	1X
2020/4/21 上午 7:51:35	31.79	43.23	13	1X
2020/4/21 上午 7:51:37	34.79	46.7	13	1X
2020/4/21 上午 7:51:38	34.79	46.7	13	1X
2020/4/21 上午 7:51:46	40.26	53.63	15	1X
2020/4/21 上午 7:51:47	40.26	53.63	15	1X
2020/4/21 上午 7:51:49	40.26	53.63	15	1X
2020/4/21 上午 7:51:52	42.73	57.09	16	1X
2020/4/21 上午 7:51:50	40.26	53.63	15	1X
2020/4/21 上午 7:51:58	45.73	61.11	17	1X
2020/4/21 上午 7:52:06	48.2	64.57	18	1X
2020/4/21 上午 7:52:13	50.67	68.04	20	1X
2020/4/21 上午 7:52:15	53.17	72.01	20	1X
2020/4/21 上午 7:52:16	53.17	72.01	20	1X
2020/4/21 上午 7:52:18	53.17	71.51	20	1X
2020/4/21 上午 7:52:32	59.14	79.49	22	1X
2020/4/21 上午 7:52:33	59.14	78.99	22	1X
2020/4/21 上午 7:52:35	59.14	78.99	22	1X
2020/4/21 上午 7:52:36	59.14	78.99	23	1X
2020/4/21 上午 7:52:38	61.11	82.95	23	1X
2020/4/21 上午 7:52:39	61.61	82.95	23	1X
2020/4/21 上午 7:52:43	50.7	68.04	19	1X
2020/4/21 上午 7:52:58	73.05	97.36	28	1X
2020/4/21 上午 7:53:00	74.52	100.83	28	1X
2020/4/21 上午 7:53:15	79.99	107.76	30	1X
2020/4/21 上午 7:53:17	79.99	107.76	30	1X
2020/4/21 上午 7:53:32	85.46	115.24	32	1X
2020/4/21 上午 7:53:34	85.46	115.74	32	1X
2020/4/21 上午 7:53:35	86.46	116.7	33	1X
2020/4/21 上午 7:53:42	88.46	119.21	34	1X
2020/4/21 上午 7:53:43	90.93	122.67	34	1X
2020/4/21 上午 7:53:45	90.93	122.67	34	1X
2020/4/21 上午 7:54:11	101.87	137.08	38	1X
2020/4/21 上午 7:54:12	101.87	137.08	38	1X
2020/4/21 上午 7:54:14	104.34	140.55	39	1X
2020/4/21 上午 7:54:16	104.34	140.55	39	1X
2020/4/21 上午 7:54:18	104.34	141.05	39	1X
2020/4/21 上午 7:54:23	107.34	144.01	40	1X
2020/4/21 上午 7:54:43	15.91	21.34	6	1X
2020/4/21 上午 7:54:45	112.81	152.5	42	1X
2020/4/21 上午 7:54:47	115.28	155.46	43	1X
2020/4/21 上午 7:55:18	142.1	192.22	53	1X
2020/4/21 上午 7:55:20	142.14	192.22	53	1X
2020/4/21 上午 7:55:22	144.6	195.18	54	1X
2020/4/21 上午 7:55:39	153.04	207.59	58	1X
2020/4/21 上午 7:55:41	155.55	210.6	58	1X
2020/4/21 上午 7:55:42	155.55	209.59	58	1X
2020/4/21 上午 7:55:44	156.05	210.6	59	1X
2020/4/21 上午 7:55:45	158.51	214.06	59	1X
2020/4/21 上午 7:55:53	163.48	220.99	61	1X
2020/4/21 上午 7:55:55	166.49	224.51	62	1X
2020/4/21 上午 7:55:57	166.95	225.01	63	1X
2020/4/21 上午 7:55:59	168.95	228.47	63	1X
2020/4/21 上午 7:56:08	176.89	238.87	66	1X
2020/4/21 上午 7:56:09	176.89	239.37	67	1X
2020/4/21 上午 7:56:11	179.9	243.39	67	1X
2020/4/21 上午 7:56:13	180.9	242.84	68	1X
2020/4/21 上午 7:56:15	182.36	246.35	68	1X
2020/4/21 上午 7:56:19	182.36	246.85	69	1X
2020/4/21 上午 7:56:22	185.87	250.32	70	1X
2020/4/21 上午 7:56:24	187.83	253.78	70	1X
2020/4/21 上午 7:56:26	187.83	254.28	71	1X
2020/4/21 上午 7:56:28	190.84	257.25	71	1X
2020/4/21 上午 7:57:08	225.59	304.95	84	1X
2020/4/21 上午 7:57:10	229.1	309.42	85	1X
2020/4/21 上午 7:57:12	228.6	309.92	86	1X
2020/4/21 上午 7:57:14	230.56	312.38	86	1X
2020/4/21 上午 7:57:16	231.06	312.38	87	1X
2020/4/21 上午 7:57:18	233.53	316.35	87	1X
2020/4/21 上午 7:57:24	238.5	323.83	89	1X
2020/4/21 上午 7:57:26	239	324.33	89	1X
2020/4/21 上午 7:57:28	240	324.33	90	1X
2020/4/21 上午 7:57:44	90.93	122.67	34	1X
2020/4/21 上午 7:57:44	252.95	342.71	94	1X
2020/4/21 上午 7:57:46	252.45	342.71	95	1X
2020/4/21 上午 7:57:48	255.42	345.67	95	1X
2020/4/21 上午 7:57:50	258.38	350.14	96	1X
2020/4/21 上午 7:57:52	257.88	350.14	96	1X
2020/4/21 上午 7:58:04	268.32	365.06	101	1X
2020/4/21 上午 7:58:06	271.83	368.02	102	1X
2020/4/21 上午 7:58:08	274.3	371.99	103	1X
2020/4/21 上午 7:58:10	277.3	375.95	104	1X
2020/4/21 上午 7:58:11	279.77	379.42	104	1X
2020/4/21 上午 7:58:13	279.77	378.97	105	1X
2020/4/21 上午 7:58:44	301.15	409.75	113	1X
2020/4/21 上午 7:58:45	304.12	413.21	114	1X
2020/4/21 上午 7:58:47	115.28	155.46	43	1X
2020/4/21 上午 7:58:48	306.58	415.72	114	1X
2020/4/21 上午 7:59:02	317.02	432.09	118	1X
2020/4/21 上午 7:59:04	317.53	431.59	118	1X
2020/4/21 上午 7:59:06	318.03	431.59	119	1X
2020/4/21 上午 7:59:07	320.03	435.06	120	1X
2020/4/21 上午 7:59:09	322.5	439.02	121	1X
2020/4/21 上午 7:59:26	338.91	461.37	126	1X
2020/4/21 上午 7:59:52	363.76	495.16	135	1X
2020/4/21 上午 7:59:54	363.76	494.66	136	1X
2020/4/21 上午 7:59:56	368.73	502.14	137	1X
2020/4/21 上午 7:59:58	368.73	502.59	137	1X
2020/4/21 上午 8:00:00	369.23	502.14	138	1X
2020/4/21 上午 8:00:02	374.17	509.57	139	1X
2020/4/21 上午 8:01:50	260.39	354.11	98	1X
2020/4/21 上午 8:05:56	916.52	1258.64	150	1.5X
2020/4/21 上午 8:05:57	917.51	1258.64	17	1.5X
2020/4/21 上午 8:06:02	0	0	0	1.5X
2020/4/21 上午 8:06:03	0	0	0	1.5X
2020/4/21 上午 8:06:05	0	0	0	1.5X
2020/4/21 上午 8:06:06	0	0	0	1.5X
2020/4/21 上午 8:06:08	0	0	0	1.5X
2020/4/21 上午 8:06:09	0	0	0	1.5X
2020/4/21 上午 8:06:20	0	0	0	1.5X
2020/4/21 上午 8:06:21	0	0	0	1.5X
2020/4/21 上午 8:06:23	0	0	0	1.5X
2020/4/21 上午 8:06:24	0	0	0	1.5X
2020/4/21 上午 8:06:26	0	0	0	1.5X
2020/4/21 上午 8:06:27	0	0	0	1.5X
2020/4/21 上午 8:06:29	5.47	7.95	1	1.5X
2020/4/21 上午 8:06:30	5.47	7.95	1	1.5X
2020/4/21 上午 8:06:32	5.47	7.95	1	1.5X
2020/4/21 上午 8:06:35	5.47	7.95	1	1.5X
2020/4/21 上午 8:06:36	5.47	7.95	1	1.5X
2020/4/21 上午 8:06:38	5.47	7.95	1	1.5X
2020/4/21 上午 8:06:44	5.47	7.95	2	1.5X
2020/4/21 上午 8:06:46	11.94	15.91	2	1.5X
2020/4/21 上午 8:06:47	11.94	15.91	2	1.5X
2020/4/21 上午 8:06:49	11.94	15.91	2	1.5X
2020/4/21 上午 8:06:50	11.94	15.91	2	1.5X
2020/4/21 上午 8:06:52	11.94	15.91	2	1.5X
2020/4/21 上午 8:06:53	11.94	15.91	3	1.5X
2020/4/21 上午 8:06:55	17.9	24.37	3	1.5X
2020/4/21 上午 8:06:56	17.9	24.37	3	1.5X
2020/4/21 上午 8:06:58	17.9	24.37	3	1.5X
2020/4/21 上午 8:06:59	17.9	24.37	4	1.5X
2020/4/21 上午 8:07:02	23.87	32.32	4	1.5X
2020/4/21 上午 8:07:04	23.87	32.32	4	1.5X
2020/4/21 上午 8:07:05	23.87	32.32	4	1.5X
2020/4/21 上午 8:07:07	27.35	40.28	5	1.5X
2020/4/21 上午 8:07:08	30.34	41.28	5	1.5X
2020/4/21 上午 8:07:10	30.34	41.28	5	1.5X
2020/4/21 上午 8:07:22	36.3	49.23	7	1.5X
2020/4/21 上午 8:07:23	42.27	57.69	7	1.5X
2020/4/21 上午 8:07:25	42.27	57.69	7	1.5X
2020/4/21 上午 8:07:26	42.27	57.69	7	1.5X
2020/4/21 上午 8:07:28	42.27	57.69	7	1.5X
2020/4/21 上午 8:07:30	42.27	57.69	7	1.5X
2020/4/21 上午 8:08:00	60.67	83.05	10	1.5X
2020/4/21 上午 8:08:05	61.17	83.05	10	1.5X
2020/4/21 上午 8:08:06	60.67	82.55	11	1.5X
2020/4/21 上午 8:08:08	67.14	91	11	1.5X
2020/4/21 上午 8:08:09	67.14	90.5	11	1.5X
2020/4/21 上午 8:08:11	67.14	90.5	11	1.5X
2020/4/21 上午 8:08:12	66.64	91	11	1.5X
2020/4/21 上午 8:08:14	67.14	91	11	1.5X
2020/4/21 上午 8:08:22	73.1	99.46	12	1.5X
2020/4/21 上午 8:08:23	73.1	99.46	12	1.5X
2020/4/21 上午 8:08:24	73.1	99.46	13	1.5X
2020/4/21 上午 8:08:26	79.07	107.41	13	1.5X
2020/4/21 上午 8:08:28	79.07	107.41	13	1.5X
2020/4/21 上午 8:08:29	79.07	107.91	13	1.5X
2020/4/21 上午 8:08:30	79.57	107.41	14	1.5X
2020/4/21 上午 8:08:32	85.03	116.37	14	1.5X
2020/4/21 上午 8:08:34	85.03	115.87	14	1.5X
2020/4/21 上午 8:08:46	96.97	132.78	16	1.5X
2020/4/21 上午 8:08:55	103.44	141.23	17	1.5X
2020/4/21 上午 8:08:57	103.44	141.23	18	1.5X
2020/4/21 上午 8:08:58	109.9	149.19	18	1.5X
2020/4/21 上午 8:09:00	109.4	149.68	18	1.5X
2020/4/21 上午 8:09:01	109.4	149.68	18	1.5X
2020/4/21 上午 8:09:03	115.37	158.14	19	1.5X
2020/4/21 上午 8:09:05	115.87	158.14	19	1.5X
2020/4/21 上午 8:09:09	117.86	160.62	20	1.5X
2020/4/21 上午 8:09:11	121.84	166.09	20	1.5X
2020/4/21 上午 8:09:12	121.84	166.09	20	1.5X
2020/4/21 上午 8:09:14	121.84	166.09	21	1.5X
2020/4/21 上午 8:09:16	127.8	174.55	21	1.5X
2020/4/21 上午 8:09:28	140.24	191.46	23	1.5X
2020/4/21 上午 8:09:30	140.74	190.96	23	1.5X
2020/4/21 上午 8:09:31	140.24	191.46	23	1.5X
2020/4/21 上午 8:09:33	140.24	191.46	24	1.5X
2020/4/21 上午 8:09:35	146.21	199.41	24	1.5X
2020/4/21 上午 8:09:40	152.67	208.37	25	1.5X
2020/4/21 上午 8:09:41	152.67	207.87	25	1.5X
2020/4/21 上午 8:09:43	152.67	208.37	25	1.5X
2020/4/21 上午 8:09:44	152.67	208.37	25	1.5X
2020/4/21 上午 8:09:49	158.64	216.32	26	1.5X
2020/4/21 上午 8:09:51	158.64	216.32	26	1.5X
2020/4/21 上午 8:09:52	158.64	216.32	27	1.5X
2020/4/21 上午 8:09:54	165.1	224.78	27	1.5X
2020/4/21 上午 8:09:56	165.1	224.78	27	1.5X
2020/4/21 上午 8:10:21	183.5	249.64	30	1.5X
2020/4/21 上午 8:10:29	183.5	250.14	30	1.5X
2020/4/21 上午 8:10:31	184	250.64	30	1.5X
2020/4/21 上午 8:10:32	184	249.64	30	1.5X
2020/4/21 上午 8:10:38	189.97	258.59	31	1.5X
2020/4/21 上午 8:10:40	189.97	257.59	31	1.5X
2020/4/21 上午 8:10:42	189.47	258.59	31	1.5X
2020/4/21 上午 8:10:43	190.96	258.09	32	1.5X
2020/4/21 上午 8:10:45	195.94	267.05	32	1.5X
2020/4/21 上午 8:10:47	195.94	267.05	32	1.5X
2020/4/21 上午 8:10:49	196.43	267.05	32	1.5X
2020/4/21 上午 8:10:56	201.9	275	33	1.5X
2020/4/21 上午 8:10:58	202.4	275.5	33	1.5X
2020/4/21 上午 8:11:00	202.4	275.5	33	1.5X
2020/4/21 上午 8:11:02	201.9	274.5	33	1.5X
2020/4/21 上午 8:11:39	208.37	283.96	34	1.5X
2020/4/21 上午 8:11:50	214.33	291.91	35	1.5X
2020/4/21 上午 8:11:52	214.33	292.41	35	1.5X
2020/4/21 上午 8:12:03	214.33	292.41	35	1.5X
2020/4/21 上午 8:12:05	214.33	292.41	35	1.5X
2020/4/21 上午 8:12:06	214.34	292.41	35	1.5X
2020/4/21 上午 8:12:08	214.34	291.41	35	1.5X
2020/4/21 上午 8:12:10	214.33	292.41	35	1.5X
2020/4/21 上午 8:12:12	214.33	292.41	36	1.5X
2020/4/21 上午 8:12:14	219.8	300.36	36	1.5X
2020/4/21 上午 8:12:16	219.8	300.86	36	1.5X
2020/4/21 上午 8:12:36	226.77	309.31	37	1.5X
2020/4/21 上午 8:12:38	226.27	308.82	37	1.5X
2020/4/21 上午 8:12:40	226.27	309.31	37	1.5X
2020/4/21 上午 8:12:42	226.77	309.81	38	1.5X
2020/4/21 上午 8:12:44	232.73	317.77	38	1.5X
2020/4/21 上午 8:12:46	232.24	317.27	38	1.5X
2020/4/21 上午 8:12:52	239.2	326.22	39	1.5X
2020/4/21 上午 8:12:54	238.7	326.22	39	1.5X
2020/4/21 上午 8:12:56	238.7	325.73	39	1.5X
2020/4/21 上午 8:12:58	239.2	326.22	39	1.5X
2020/4/21 上午 8:13:10	127.8	175.05	21	1.5X
2020/4/21 上午 8:13:10	244.67	334.68	40	1.5X
2020/4/21 上午 8:13:12	244.67	334.18	40	1.5X
2020/4/21 上午 8:13:14	244.67	334.18	40	1.5X
2020/4/21 上午 8:13:16	245.17	334.68	40	1.5X
2020/4/21 上午 8:13:19	251.14	342.64	41	1.5X
2020/4/21 上午 8:13:21	251.14	343.63	41	1.5X
2020/4/21 上午 8:13:22	251.14	343.13	41	1.5X
2020/4/21 上午 8:13:24	251.14	343.13	42	1.5X
2020/4/21 上午 8:13:26	257.6	350.59	42	1.5X
2020/4/21 上午 8:13:28	257.1	351.59	42	1.5X
2020/4/21 上午 8:13:30	263.57	359.54	43	1.5X
2020/4/21 上午 8:13:32	263.57	360.04	43	1.5X
2020/4/21 上午 8:13:34	264.07	360.04	43	1.5X
2020/4/21 上午 8:13:36	263.57	359.05	44	1.5X
2020/4/21 上午 8:13:39	269.54	368.49	44	1.5X
2020/4/21 上午 8:13:51	276.5	376.45	45	1.5X
2020/4/21 上午 8:13:54	276	376.95	45	1.5X
2020/4/21 上午 8:13:56	276.5	376.95	45	1.5X
2020/4/21 上午 8:13:56	165.1	224.28	27	1.5X
2020/4/21 上午 8:13:58	276	377.45	45	1.5X
2020/4/21 上午 8:14:00	277	376.45	46	1.5X
2020/4/21 上午 8:14:04	282.47	384.9	46	1.5X
2020/4/21 上午 8:14:06	282.47	384.4	46	1.5X
2020/4/21 上午 8:14:08	282.47	385.4	47	1.5X
2020/4/21 上午 8:14:17	275.5	376.95	45	1.5X
2020/4/21 上午 8:14:18	294.4	401.81	48	1.5X
2020/4/21 上午 8:14:20	294.4	402.31	48	1.5X
2020/4/21 上午 8:14:22	294.9	401.32	48	1.5X
2020/4/21 上午 8:14:24	294.9	402.31	48	1.5X
2020/4/21 上午 8:14:26	294.4	402.31	48	1.5X
2020/4/21 上午 8:14:28	294.4	402.31	48	1.5X
2020/4/21 上午 8:14:30	294.9	401.81	48	1.5X
2020/4/21 上午 8:14:32	294.9	402.31	48	1.5X
2020/4/21 上午 8:14:34	294.4	401.31	48	1.5X
2020/4/21 上午 8:14:36	294.4	402.31	48	1.5X
2020/4/21 上午 8:14:38	294.9	402.31	48	1.5X
2020/4/21 上午 8:14:41	294.4	401.31	48	1.5X
2020/4/21 上午 8:14:42	294.4	402.31	48	1.5X
2020/4/21 上午 8:14:44	294.9	401.81	48	1.5X
2020/4/21 上午 8:14:46	294.9	402.31	48	1.5X
2020/4/21 上午 8:14:48	294.4	402.31	48	1.5X
2020/4/21 上午 8:14:50	294.4	402.31	48	1.5X
2020/4/21 上午 8:14:57	294.4	401.81	48	1.5X
2020/4/21 上午 8:14:59	294.9	402.31	48	1.5X
2020/4/21 上午 8:15:00	294.9	402.31	48	1.5X
2020/4/21 上午 8:15:03	294.4	401.31	48	1.5X
2020/4/21 上午 8:15:13	300.37	411.26	49	1.5X
2020/4/21 上午 8:15:15	301.36	410.27	49	1.5X
2020/4/21 上午 8:15:17	301.36	411.26	49	1.5X
2020/4/21 上午 8:15:23	306.83	419.22	50	1.5X
2020/4/21 上午 8:15:25	307.33	418.72	50	1.5X
2020/4/21 上午 8:15:27	313.3	427.67	51	1.5X
2020/4/21 上午 8:15:29	312.8	427.67	51	1.5X
2020/4/21 上午 8:15:31	312.8	427.67	51	1.5X
2020/4/21 上午 8:15:33	313.8	427.67	51	1.5X
2020/4/21 上午 8:15:35	313.8	428.17	51	1.5X
2020/4/21 上午 8:15:37	312.8	427.17	51	1.5X
2020/4/21 上午 8:15:39	312.8	428.17	51	1.5X
2020/4/21 上午 8:15:41	313.3	428.17	51	1.5X
2020/4/21 上午 8:15:43	313.8	426.68	51	1.5X
2020/4/21 上午 8:15:45	312.8	428.17	51	1.5X
2020/4/21 上午 8:15:47	312.8	427.67	51	1.5X
2020/4/21 上午 8:15:52	214.33	291.91	35	1.5X
2020/4/21 上午 8:15:53	319.76	436.12	52	1.5X
2020/4/21 上午 8:16:03	319.27	436.12	52	1.5X
2020/4/21 上午 8:16:05	318.77	435.62	52	1.5X
2020/4/21 上午 8:16:07	319.76	436.13	52	1.5X
2020/4/21 上午 8:16:09	319.27	436.12	52	1.5X
2020/4/21 上午 8:16:11	319.27	436.12	52	1.5X
2020/4/21 上午 8:16:11	220.8	300.86	36	1.5X
2020/4/21 上午 8:16:13	319.76	435.63	52	1.5X
2020/4/21 上午 8:16:15	319.76	436.12	53	1.5X
2020/4/21 上午 8:16:17	325.23	445.08	53	1.5X
2020/4/21 上午 8:16:19	325.23	443.58	53	1.5X
2020/4/21 上午 8:16:23	325.73	444.58	53	1.5X
2020/4/21 上午 8:16:25	325.23	444.08	53	1.5X
2020/4/21 上午 8:16:27	325.73	445.08	53	1.5X
2020/4/21 上午 8:16:29	325.73	443.58	53	1.5X
2020/4/21 上午 8:16:31	325.23	444.58	53	1.5X
2020/4/21 上午 8:16:33	326.23	444.58	53	1.5X
2020/4/21 上午 8:16:35	325.73	444.58	53	1.5X
2020/4/21 上午 8:16:37	325.23	444.08	53	1.5X
2020/4/21 上午 8:16:39	325.23	445.08	53	1.5X
2020/4/21 上午 8:16:41	325.23	444.08	53	1.5X
2020/4/21 上午 8:16:43	325.73	445.08	53	1.5X
2020/4/21 上午 8:16:51	325.73	444.08	53	1.5X
2020/4/21 上午 8:16:53	325.23	444.08	53	1.5X
2020/4/21 上午 8:16:55	325.73	444.08	53	1.5X
2020/4/21 上午 8:16:57	325.73	445.08	53	1.5X
2020/4/21 上午 8:16:59	325.73	444.08	53	1.5X
2020/4/21 上午 8:17:01	325.23	444.58	53	1.5X
2020/4/21 上午 8:17:19	331.7	452.54	55	1.5X
2020/4/21 上午 8:17:21	331.7	453.03	55	1.5X
2020/4/21 上午 8:17:24	338.16	461.49	55	1.5X
2020/4/21 上午 8:17:25	270.03	368.49	45	1.5X
2020/4/21 上午 8:17:30	337.67	460.99	56	1.5X
2020/4/21 上午 8:17:33	344.13	470.44	56	1.5X
2020/4/21 上午 8:17:36	343.63	469.45	56	1.5X
2020/4/21 上午 8:17:40	344.13	469.94	57	1.5X
2020/4/21 上午 8:17:43	343.63	470.44	57	1.5X
2020/4/21 上午 8:17:46	349.6	469.94	57	1.5X
2020/4/21 上午 8:17:50	349.6	478.39	57	1.5X
2020/4/21 上午 8:17:54	350.1	477.4	58	1.5X
2020/4/21 上午 8:18:01	281.97	385.4	46	1.5X
2020/4/21 上午 8:18:03	356.56	487.35	60	1.5X
2020/4/21 上午 8:18:07	356.07	486.85	61	1.5X
2020/4/21 上午 8:18:11	356.56	487.35	58	1.5X
2020/4/21 上午 8:18:15	362.03	495.3	58	1.5X
2020/4/21 上午 8:18:19	368	502.76	59	1.5X
2020/4/21 上午 8:18:23	369	503.26	60	1.5X
2020/4/21 上午 8:18:27	374.47	511.21	60	1.5X
2020/4/21 上午 8:18:31	374.96	511.22	60	1.5X
2020/4/21 上午 8:18:36	371.98	510.72	61	1.5X
2020/4/21 上午 8:18:40	356.07	487.85	61	1.5X
2020/4/21 上午 8:18:45	356.07	487.35	61	1.5X
2020/4/21 上午 8:18:50	363.03	494.31	61	1.5X
2020/4/21 上午 8:18:51	294.4	401.31	48	1.5X
2020/4/21 上午 8:18:54	364.02	495.3	61	1.5X
2020/4/21 上午 8:18:59	369	504.26	61	1.5X
2020/4/21 上午 8:19:08	374.47	511.21	61	1.5X
2020/4/21 上午 8:19:13	375.46	511.21	61	1.5X
2020/4/21 上午 8:19:40	374.47	512.71	63	1.5X
2020/4/21 上午 8:19:48	319.76	435.63	52	1.5X
2020/4/21 上午 8:20:22	374.47	511.71	58	1.5X
2020/4/21 上午 8:20:24	374.47	511.71	58	1.5X
2020/4/21 上午 8:20:25	369	512.71	59	1.5X
2020/4/21 上午 8:20:27	363.03	495.8	59	1.5X
2020/4/21 上午 8:20:28	362.53	494.8	59	1.5X
2020/4/21 上午 8:20:31	363.03	495.8	59	1.5X
2020/4/21 上午 8:20:33	362.53	494.8	59	1.5X
2020/4/21 上午 8:20:34	363.03	495.8	59	1.5X
2020/4/21 上午 8:20:36	368	504.75	60	1.5X
2020/4/21 上午 8:20:37	368	504.26	60	1.5X
2020/4/21 上午 8:20:39	368	503.76	60	1.5X
2020/4/21 上午 8:20:40	369	504.26	60	1.5X
2020/4/21 上午 8:20:43	375.46	511.71	61	1.5X
2020/4/21 上午 8:20:45	374.47	512.71	61	1.5X
2020/4/21 上午 8:20:46	374.96	512.71	61	1.5X
2020/4/21 上午 8:20:48	375.46	512.71	61	1.5X
2020/4/21 上午 8:20:49	375.46	512.21	62	1.5X
2020/4/21 上午 8:20:51	380.93	520.67	62	1.5X
2020/4/21 上午 8:20:52	380.43	521.16	62	1.5X
2020/4/21 上午 8:20:54	381.43	520.17	62	1.5X
2020/4/21 上午 8:20:55	381.43	520.17	62	1.5X
2020/4/21 上午 8:20:58	386.9	529.61	63	1.5X
2020/4/21 上午 8:21:00	387.89	529.61	63	1.5X
2020/4/21 上午 8:21:05	393.86	538.57	64	1.5X
2020/4/21 上午 8:21:06	392.87	537.08	64	1.5X
2020/4/21 上午 8:21:07	393.36	538.57	64	1.5X
2020/4/21 上午 8:21:09	393.86	538.57	64	1.5X
2020/4/21 上午 8:21:11	393.86	538.57	65	1.5X
2020/4/21 上午 8:21:12	399.33	545.53	65	1.5X
2020/4/21 上午 8:21:14	399.33	546.03	65	1.5X
2020/4/21 上午 8:21:17	400.33	546.53	66	1.5X
2020/4/21 上午 8:21:18	405.3	554.48	66	1.5X
2020/4/21 上午 8:21:20	405.3	554.48	66	1.5X
2020/4/21 上午 8:21:21	406.29	555.48	66	1.5X
2020/4/21 上午 8:21:23	405.3	553.49	66	1.5X
2020/4/21 上午 8:21:41	418.73	571.89	68	1.5X
